Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - Academic - S1 S2] Lunch,24.06.2020,12:05,24.06.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Numerical Skills for the Hospitality Professional,25.06.2020,10:15,25.06.2020,12:00,I. Francis M. Aston BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,25.06.2020,12:05,25.06.2020,12:55,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Foreign Language/English,25.06.2020,13:00,25.06.2020,14:45,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Foreign Language/English,26.06.2020,08:10,26.06.2020,09:55,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Numerical Skills for the Hospitality Professional,26.06.2020,10:15,26.06.2020,12:00,I. Francis M. Aston BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,26.06.2020,12:05,26.06.2020,12:55,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Oenology,29.06.2020,10:15,29.06.2020,12:55,V. Aiosi BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,29.06.2020,13:00,29.06.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Professional Communication Skills,29.06.2020,13:55,29.06.2020,15:40,D. Haubi S. Stead BBA 1 - Academic - S1 S2,208 206
[BBA 1 - Academic - S1 S2] Introduction to Entrepreneurial Design,29.06.2020,16:00,29.06.2020,17:45,A. Gamberoni BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Professional Communication Skills,30.06.2020,10:15,30.06.2020,12:00,D. Haubi S. Stead BBA 1 - Academic - S1 S2,208 206
[BBA 1 - Academic - S1 S2] Lunch,30.06.2020,12:05,30.06.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Foreign Language/English,30.06.2020,13:55,30.06.2020,15:40,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Introduction to Entrepreneurial Design,01.07.2020,08:10,01.07.2020,09:55,A. Gamberoni BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Oenology,01.07.2020,10:15,01.07.2020,12:00,V. Aiosi BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,01.07.2020,12:05,01.07.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Numerical Skills for the Hospitality Professional,02.07.2020,10:15,02.07.2020,12:00,I. Francis M. Aston BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,02.07.2020,12:05,02.07.2020,12:55,BBA 1 - Academic - S1 S2
