Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M1] Economics,11.10.2019,09:05,11.10.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,11.10.2019,10:15,11.10.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,11.10.2019,12:05,11.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,11.10.2019,13:00,11.10.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Preparation for Career Day,11.10.2019,14:50,11.10.2019,15:40,BBA 4 - M1 CDIP 1,[NW3.1]
[BBA 4 - M1] Lunch,14.10.2019,12:05,14.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Integrated Project ,14.10.2019,14:50,14.10.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Career Day,15.10.2019,08:10,15.10.2019,17:45,BBA 7 - G2 Finance BBA 6 - N4 MBA1-2 PGDb BBA 7 - G6 Entrepreneurship MBA 2 a BBA 1 - SC - Concierge GB 5/7 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 J. Cunningham D. Adams V. Aiosi A. Andrioli S. Avedisova F. Avila CDIP 1 R. Campione K. Carlson-Blatti S. Chib E. Crettenand B. Crettol A. Darioly Carroz J. Del Sol J. Di Donna D. Diamantis S. Dunn E. Ebiner I. Francis D. Fuchs A. Gamberoni P. Garcia D. Gardini R. Germanier W. Gerstkamp F. Gueuning B. Hassan D. Haubi P. Hodgson G. Lana M. Leaney P. Macarrao B. McGlade S. McMath N. McMath J. Meehan M. Michaels E. Mottier B. Müller M. Ninan R. Puhr G. Qumsieh Q. Rachny E. Rachny A. Rosen A. Schirinzi S. Stead F. Stegmüller J. Van der Blom E. Varini M. Varini E. Wong BBA 7 - G1 Finance BBA 7 - G3 Marketing BBA 7 - G5 Entrepreneurship BBA 7 - G4 Entrepreneurship GB 7 GB 5 BBA 3 - K1 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 PGDa BBA 1 - SA1 BBA 1 - SC - Rooms Division BBA 1 - SA2
[BBA 4 - M1] Foreign Languages,16.10.2019,08:10,16.10.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,16.10.2019,09:05,16.10.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,16.10.2019,10:15,16.10.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,16.10.2019,12:05,16.10.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,16.10.2019,13:55,16.10.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,16.10.2019,14:50,16.10.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,16.10.2019,16:00,16.10.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,17.10.2019,08:10,17.10.2019,09:55,P. Garcia BBA 4 - M1,[305]
[BBA 4 - M1] Foreign Languages,17.10.2019,10:15,17.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,17.10.2019,11:10,17.10.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,17.10.2019,12:05,17.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,17.10.2019,13:00,17.10.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,17.10.2019,13:55,17.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project ,17.10.2019,14:50,17.10.2019,17:45,J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,18.10.2019,08:10,18.10.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,18.10.2019,10:15,18.10.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,18.10.2019,12:05,18.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,18.10.2019,13:00,18.10.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Food and Beverage Management and Cost Control,21.10.2019,08:10,21.10.2019,09:55,BBA 4 - M1 BBA 4 - M2 A. Gamberoni,[305]
[BBA 4 - M1] Lunch,21.10.2019,12:05,21.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Integrated Project ,21.10.2019,14:50,21.10.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,22.10.2019,08:10,22.10.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,22.10.2019,10:15,22.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,22.10.2019,11:10,22.10.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,22.10.2019,12:05,22.10.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,22.10.2019,13:55,22.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,22.10.2019,14:50,22.10.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,23.10.2019,08:10,23.10.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,23.10.2019,09:05,23.10.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,23.10.2019,10:15,23.10.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,23.10.2019,12:05,23.10.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,23.10.2019,13:55,23.10.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,23.10.2019,14:50,23.10.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,23.10.2019,16:00,23.10.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,24.10.2019,08:10,24.10.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,24.10.2019,10:15,24.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,24.10.2019,11:10,24.10.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,24.10.2019,12:05,24.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,24.10.2019,13:00,24.10.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,24.10.2019,13:55,24.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project ,24.10.2019,14:50,24.10.2019,17:45,J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,25.10.2019,08:10,25.10.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,25.10.2019,10:15,25.10.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,25.10.2019,12:05,25.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Lunch,28.10.2019,12:05,28.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Integrated Project ,28.10.2019,14:50,28.10.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,29.10.2019,08:10,29.10.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,29.10.2019,10:15,29.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,29.10.2019,11:10,29.10.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,29.10.2019,12:05,29.10.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,29.10.2019,13:55,29.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,29.10.2019,14:50,29.10.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,30.10.2019,08:10,30.10.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,30.10.2019,09:05,30.10.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,30.10.2019,10:15,30.10.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,30.10.2019,12:05,30.10.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,30.10.2019,13:55,30.10.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,30.10.2019,14:50,30.10.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,30.10.2019,16:00,30.10.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,31.10.2019,08:10,31.10.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,31.10.2019,10:15,31.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,31.10.2019,11:10,31.10.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,31.10.2019,12:05,31.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,31.10.2019,13:00,31.10.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,31.10.2019,13:55,31.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project ,31.10.2019,14:50,31.10.2019,17:45,J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,01.11.2019,08:10,01.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,01.11.2019,10:15,01.11.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,01.11.2019,12:05,01.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,01.11.2019,13:00,01.11.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Lunch,04.11.2019,12:05,04.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Integrated Project ,04.11.2019,14:50,04.11.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,05.11.2019,08:10,05.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Foreign Languages,05.11.2019,10:15,05.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,05.11.2019,11:10,05.11.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,05.11.2019,12:05,05.11.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,05.11.2019,13:55,05.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,05.11.2019,14:50,05.11.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,06.11.2019,08:10,06.11.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,06.11.2019,09:05,06.11.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,06.11.2019,10:15,06.11.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,06.11.2019,12:05,06.11.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,06.11.2019,13:55,06.11.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,06.11.2019,14:50,06.11.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,06.11.2019,16:00,06.11.2019,17:45,J. Del Sol BBA 4 - M1,[NW1.1]
[BBA 4 - M1] Hospitality Facilities Management,07.11.2019,08:10,07.11.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,07.11.2019,10:15,07.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,07.11.2019,11:10,07.11.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,07.11.2019,12:05,07.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,07.11.2019,13:00,07.11.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,07.11.2019,13:55,07.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project ,07.11.2019,14:50,07.11.2019,17:45,J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[BBA 4 - M1] Economics,08.11.2019,08:10,08.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,08.11.2019,10:15,08.11.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,08.11.2019,12:05,08.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,08.11.2019,13:00,08.11.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Lunch,11.11.2019,12:05,11.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,11.11.2019,13:00,11.11.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Integrated Project Presentations,11.11.2019,14:50,11.11.2019,17:45,A. Gamberoni A. Schirinzi P. Garcia J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 2.1 NW 2.2
[BBA 4 - M1] Economics,12.11.2019,08:10,12.11.2019,09:55,A. Rosen BBA 4 - M1,[212]
[BBA 4 - M1] Foreign Languages,12.11.2019,10:15,12.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,12.11.2019,11:10,12.11.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,12.11.2019,12:05,12.11.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,12.11.2019,13:55,12.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,12.11.2019,14:50,12.11.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,13.11.2019,08:10,13.11.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,13.11.2019,09:05,13.11.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,13.11.2019,10:15,13.11.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,13.11.2019,12:05,13.11.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,13.11.2019,13:55,13.11.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,13.11.2019,14:50,13.11.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,13.11.2019,16:00,13.11.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,14.11.2019,08:10,14.11.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,14.11.2019,10:15,14.11.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,14.11.2019,11:10,14.11.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,14.11.2019,12:05,14.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,14.11.2019,13:00,14.11.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,14.11.2019,13:55,14.11.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project Presentations,14.11.2019,14:50,14.11.2019,17:45,I. Francis J. Del Sol J. Van der Blom A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2
[BBA 4 - M1] Economics,15.11.2019,09:05,15.11.2019,09:55,A. Rosen BBA 4 - M1,[309]
[BBA 4 - M1] Hospitality Managerial Accounting,15.11.2019,10:15,15.11.2019,12:00,BBA 4 - M1 I. Francis,[205]
[BBA 4 - M1] Lunch,15.11.2019,12:05,15.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Food and Beverage Management and Cost Control,15.11.2019,13:00,15.11.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[BBA 4 - M1] Lunch,18.11.2019,12:05,18.11.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,18.11.2019,13:00,18.11.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.1]
[BBA 4 - M1] INT 5208 - Motivation Techniques,18.11.2019,14:50,18.11.2019,15:40,BBA 4 - M1,[305]
[BBA 4 - M1] INT 5208 - Management and Leadership Styles,18.11.2019,16:00,18.11.2019,17:45,BBA 4 - M1 M. Varini,[305]
