Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G1 Finance Group 2] General Education,09.04.2020,08:10,09.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,09.04.2020,11:10,09.04.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,09.04.2020,12:05,09.04.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,09.04.2020,13:00,09.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,09.04.2020,13:55,09.04.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,10.04.2020,08:10,10.04.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,10.04.2020,11:10,10.04.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,10.04.2020,12:05,10.04.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),20.04.2020,09:05,20.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,20.04.2020,12:05,20.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),20.04.2020,14:50,20.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),21.04.2020,09:05,21.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,21.04.2020,12:05,21.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,21.04.2020,13:55,21.04.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,22.04.2020,08:10,22.04.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,22.04.2020,11:10,22.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,22.04.2020,14:50,22.04.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,22.04.2020,16:00,22.04.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,23.04.2020,08:10,23.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,23.04.2020,11:10,23.04.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,23.04.2020,12:05,23.04.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,23.04.2020,13:00,23.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,23.04.2020,13:55,23.04.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,24.04.2020,08:10,24.04.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,24.04.2020,11:10,24.04.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,24.04.2020,12:05,24.04.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),27.04.2020,09:05,27.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,27.04.2020,12:05,27.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),27.04.2020,14:50,27.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),28.04.2020,09:05,28.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,28.04.2020,12:05,28.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,28.04.2020,13:55,28.04.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,29.04.2020,08:10,29.04.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,29.04.2020,11:10,29.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,29.04.2020,14:50,29.04.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,29.04.2020,16:00,29.04.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,30.04.2020,08:10,30.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,30.04.2020,11:10,30.04.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,30.04.2020,12:05,30.04.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,30.04.2020,13:00,30.04.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,30.04.2020,13:55,30.04.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,01.05.2020,08:10,01.05.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,01.05.2020,11:10,01.05.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,01.05.2020,12:05,01.05.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),04.05.2020,09:05,04.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,04.05.2020,12:05,04.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),04.05.2020,14:50,04.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),05.05.2020,09:05,05.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,05.05.2020,12:05,05.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,05.05.2020,13:55,05.05.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,06.05.2020,08:10,06.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,06.05.2020,11:10,06.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,06.05.2020,14:50,06.05.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,06.05.2020,16:00,06.05.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,07.05.2020,08:10,07.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,07.05.2020,11:10,07.05.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,07.05.2020,12:05,07.05.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,07.05.2020,13:00,07.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,07.05.2020,13:55,07.05.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,08.05.2020,08:10,08.05.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,08.05.2020,11:10,08.05.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,08.05.2020,12:05,08.05.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),11.05.2020,09:05,11.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,11.05.2020,12:05,11.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),11.05.2020,14:50,11.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),12.05.2020,09:05,12.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,12.05.2020,12:05,12.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,12.05.2020,13:55,12.05.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,13.05.2020,08:10,13.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,13.05.2020,11:10,13.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,13.05.2020,14:50,13.05.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,13.05.2020,16:00,13.05.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,14.05.2020,08:10,14.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,14.05.2020,11:10,14.05.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,14.05.2020,12:05,14.05.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,14.05.2020,13:00,14.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,14.05.2020,13:55,14.05.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,15.05.2020,08:10,15.05.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,15.05.2020,11:10,15.05.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,15.05.2020,12:05,15.05.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),18.05.2020,09:05,18.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,18.05.2020,12:05,18.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),18.05.2020,14:50,18.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),19.05.2020,09:05,19.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,19.05.2020,12:05,19.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,19.05.2020,13:55,19.05.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,20.05.2020,08:10,20.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,20.05.2020,11:10,20.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,20.05.2020,14:50,20.05.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,20.05.2020,16:00,20.05.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,21.05.2020,08:10,21.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,21.05.2020,11:10,21.05.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,21.05.2020,12:05,21.05.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,21.05.2020,13:00,21.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,21.05.2020,13:55,21.05.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,22.05.2020,08:10,22.05.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,22.05.2020,11:10,22.05.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,22.05.2020,12:05,22.05.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),25.05.2020,09:05,25.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,25.05.2020,12:05,25.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),25.05.2020,14:50,25.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),26.05.2020,09:05,26.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,26.05.2020,12:05,26.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,26.05.2020,13:55,26.05.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,27.05.2020,08:10,27.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,27.05.2020,11:10,27.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,27.05.2020,14:50,27.05.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,27.05.2020,16:00,27.05.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,28.05.2020,08:10,28.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,28.05.2020,11:10,28.05.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,28.05.2020,12:05,28.05.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,28.05.2020,13:00,28.05.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,28.05.2020,13:55,28.05.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,29.05.2020,08:10,29.05.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,29.05.2020,11:10,29.05.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,29.05.2020,12:05,29.05.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),01.06.2020,09:05,01.06.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,01.06.2020,12:05,01.06.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),01.06.2020,14:50,01.06.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),02.06.2020,09:05,02.06.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,02.06.2020,12:05,02.06.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,02.06.2020,13:55,02.06.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,03.06.2020,08:10,03.06.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,03.06.2020,11:10,03.06.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,03.06.2020,14:50,03.06.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,03.06.2020,16:00,03.06.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,04.06.2020,08:10,04.06.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,04.06.2020,11:10,04.06.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,04.06.2020,12:05,04.06.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,04.06.2020,13:00,04.06.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,04.06.2020,13:55,04.06.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,05.06.2020,08:10,05.06.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,05.06.2020,11:10,05.06.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,05.06.2020,12:05,05.06.2020,12:55,BBA 7 - G1 Finance Group 2
