Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 6 - N4] Lunch,23.09.2019,12:05,23.09.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Revenue and Pricing Management,23.09.2019,13:55,23.09.2019,15:40,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,23.09.2019,16:00,23.09.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,24.09.2019,08:10,24.09.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,24.09.2019,09:05,24.09.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,24.09.2019,10:15,24.09.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,24.09.2019,11:10,24.09.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,24.09.2019,13:55,24.09.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] Les Roches Accreditation - Open Information Sessions,24.09.2019,16:00,24.09.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M2 BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,LT 2
[BBA 6 - N4] General Education,25.09.2019,08:10,25.09.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,25.09.2019,09:05,25.09.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,25.09.2019,11:10,25.09.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,25.09.2019,12:05,25.09.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,25.09.2019,13:00,25.09.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,25.09.2019,14:50,25.09.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,26.09.2019,08:10,26.09.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,26.09.2019,09:05,26.09.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,26.09.2019,10:15,26.09.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,26.09.2019,11:10,26.09.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,26.09.2019,12:05,26.09.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,26.09.2019,13:55,26.09.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,26.09.2019,14:50,26.09.2019,15:40,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] Modellng for Management,27.09.2019,11:10,27.09.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,27.09.2019,12:05,27.09.2019,12:55,S. McMath BBA 6 - N4,[207]
[BBA 6 - N4] Lunch,27.09.2019,13:00,27.09.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,27.09.2019,13:55,27.09.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,27.09.2019,16:00,27.09.2019,16:50,R. Campione BBA 6 - N4,[309]
[BBA 6 - N4] Lunch,30.09.2019,12:05,30.09.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Revenue and Pricing Management,30.09.2019,13:55,30.09.2019,15:40,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,30.09.2019,16:00,30.09.2019,17:45,S. McMath BBA 6 - N4,[309]
