Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 6 - N4] General Education,24.10.2019,08:10,24.10.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,24.10.2019,09:05,24.10.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,24.10.2019,10:15,24.10.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,24.10.2019,11:10,24.10.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,24.10.2019,12:05,24.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,24.10.2019,13:55,24.10.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,24.10.2019,14:50,24.10.2019,15:40,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] Modellng for Management,25.10.2019,11:10,25.10.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,25.10.2019,12:05,25.10.2019,12:55,S. McMath BBA 6 - N4,[NW2.2]
[BBA 6 - N4] Lunch,25.10.2019,13:00,25.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,25.10.2019,13:55,25.10.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,25.10.2019,16:00,25.10.2019,16:50,R. Campione BBA 6 - N4,[LT2]
[BBA 6 - N4] Data Analytics for Business Optimisation - Guest Lecturer,28.10.2019,12:05,28.10.2019,13:50,BBA 6 - N3 BBA 6 - N4 GB 5 E. Mottier,[LT2]
[BBA 6 - N4] Revenue and Pricing Management,28.10.2019,13:55,28.10.2019,15:40,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,28.10.2019,16:00,28.10.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,29.10.2019,08:10,29.10.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,29.10.2019,09:05,29.10.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,29.10.2019,10:15,29.10.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,29.10.2019,11:10,29.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] General Education,30.10.2019,08:10,30.10.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,30.10.2019,09:05,30.10.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,30.10.2019,11:10,30.10.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,30.10.2019,12:05,30.10.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,30.10.2019,13:00,30.10.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,30.10.2019,14:50,30.10.2019,16:50,M. Leaney BBA 6 - N4,[NW2.2]
[BBA 6 - N4] General Education,31.10.2019,08:10,31.10.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,31.10.2019,09:05,31.10.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,31.10.2019,10:15,31.10.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,31.10.2019,11:10,31.10.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,31.10.2019,12:05,31.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,31.10.2019,13:55,31.10.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,31.10.2019,14:50,31.10.2019,15:40,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] Modellng for Management,01.11.2019,11:10,01.11.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,01.11.2019,12:05,01.11.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,01.11.2019,13:00,01.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,01.11.2019,13:55,01.11.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,01.11.2019,16:00,01.11.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Revenue and Pricing Management,04.11.2019,13:55,04.11.2019,15:40,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,04.11.2019,16:00,04.11.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,05.11.2019,08:10,05.11.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,05.11.2019,09:05,05.11.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,05.11.2019,10:15,05.11.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,05.11.2019,11:10,05.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,05.11.2019,13:55,05.11.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] General Education,06.11.2019,08:10,06.11.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,06.11.2019,09:05,06.11.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,06.11.2019,11:10,06.11.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,06.11.2019,12:05,06.11.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,06.11.2019,13:00,06.11.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,06.11.2019,14:50,06.11.2019,16:50,M. Leaney BBA 6 - N4,[NW2.1]
[BBA 6 - N4] General Education,07.11.2019,08:10,07.11.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,07.11.2019,09:05,07.11.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,07.11.2019,10:15,07.11.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,07.11.2019,11:10,07.11.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,07.11.2019,12:05,07.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,07.11.2019,13:55,07.11.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,07.11.2019,14:50,07.11.2019,15:40,J. Di Donna BBA 6 - N4,[208]
[BBA 6 - N4] Modellng for Management,08.11.2019,11:10,08.11.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,08.11.2019,12:05,08.11.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,08.11.2019,13:00,08.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,08.11.2019,13:55,08.11.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,08.11.2019,16:00,08.11.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Revenue and Pricing Management,11.11.2019,13:55,11.11.2019,15:40,R. Campione BBA 6 - N4,[303]
[BBA 6 - N4] Hospitality Financial Management,11.11.2019,16:00,11.11.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,12.11.2019,08:10,12.11.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,12.11.2019,09:05,12.11.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,12.11.2019,10:15,12.11.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,12.11.2019,11:10,12.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,12.11.2019,13:55,12.11.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] General Education,13.11.2019,08:10,13.11.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,13.11.2019,09:05,13.11.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,13.11.2019,11:10,13.11.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,13.11.2019,12:05,13.11.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,13.11.2019,13:00,13.11.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,13.11.2019,14:50,13.11.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,14.11.2019,08:10,14.11.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,14.11.2019,09:05,14.11.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,14.11.2019,10:15,14.11.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,14.11.2019,11:10,14.11.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,14.11.2019,12:05,14.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,14.11.2019,13:55,14.11.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,14.11.2019,14:50,14.11.2019,15:40,J. Di Donna BBA 6 - N4,[208]
[BBA 6 - N4] Modellng for Management,15.11.2019,11:10,15.11.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,15.11.2019,12:05,15.11.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,15.11.2019,13:00,15.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,15.11.2019,13:55,15.11.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW2.1]
[BBA 6 - N4] Revenue and Pricing Management,15.11.2019,16:00,15.11.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Revenue and Pricing Management,18.11.2019,13:55,18.11.2019,15:40,R. Campione BBA 6 - N4,[LT1]
[BBA 6 - N4] Hospitality Financial Management,18.11.2019,16:00,18.11.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,19.11.2019,08:10,19.11.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,19.11.2019,09:05,19.11.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,19.11.2019,10:15,19.11.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,19.11.2019,11:10,19.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,19.11.2019,13:55,19.11.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] General Education,20.11.2019,08:10,20.11.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,20.11.2019,09:05,20.11.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,20.11.2019,11:10,20.11.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,20.11.2019,12:05,20.11.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,20.11.2019,13:00,20.11.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,20.11.2019,14:50,20.11.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,21.11.2019,08:10,21.11.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,21.11.2019,09:05,21.11.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,21.11.2019,10:15,21.11.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,21.11.2019,11:10,21.11.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,21.11.2019,12:05,21.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,21.11.2019,13:55,21.11.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,21.11.2019,14:50,21.11.2019,15:40,J. Di Donna BBA 6 - N4,[208]
[BBA 6 - N4] Modellng for Management,22.11.2019,11:10,22.11.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,22.11.2019,12:05,22.11.2019,12:55,S. McMath BBA 6 - N4,[NW2.2]
[BBA 6 - N4] Lunch,22.11.2019,13:00,22.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Revenue and Pricing Management,22.11.2019,16:00,22.11.2019,16:50,R. Campione BBA 6 - N4,[309]
[BBA 6 - N4] Lunch,25.11.2019,12:05,25.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Revenue and Pricing Management,25.11.2019,13:55,25.11.2019,15:40,R. Campione BBA 6 - N4,[207]
[BBA 6 - N4] Hospitality Financial Management,25.11.2019,16:00,25.11.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,26.11.2019,08:10,26.11.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,26.11.2019,09:05,26.11.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,26.11.2019,10:15,26.11.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,26.11.2019,11:10,26.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,26.11.2019,13:55,26.11.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] General Education,27.11.2019,08:10,27.11.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,27.11.2019,09:05,27.11.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,27.11.2019,11:10,27.11.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,27.11.2019,12:05,27.11.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,27.11.2019,13:00,27.11.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,27.11.2019,14:50,27.11.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,28.11.2019,08:10,28.11.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,28.11.2019,09:05,28.11.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,28.11.2019,10:15,28.11.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,28.11.2019,11:10,28.11.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,28.11.2019,12:05,28.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,28.11.2019,13:55,28.11.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,28.11.2019,14:50,28.11.2019,15:40,J. Di Donna BBA 6 - N4,[208]
[BBA 6 - N4] Modellng for Management,29.11.2019,11:10,29.11.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,29.11.2019,12:05,29.11.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,29.11.2019,13:00,29.11.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,29.11.2019,13:55,29.11.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,29.11.2019,16:00,29.11.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Revenue and Pricing Management,02.12.2019,13:55,02.12.2019,15:40,R. Campione BBA 6 - N4,[303]
[BBA 6 - N4] Hospitality Financial Management,02.12.2019,16:00,02.12.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,03.12.2019,08:10,03.12.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,03.12.2019,09:05,03.12.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,03.12.2019,10:15,03.12.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,03.12.2019,11:10,03.12.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,03.12.2019,13:55,03.12.2019,15:40,E. Mottier BBA 6 - N4,[NW2.2]
[BBA 6 - N4] General Education,04.12.2019,08:10,04.12.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,04.12.2019,09:05,04.12.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,04.12.2019,11:10,04.12.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,04.12.2019,12:05,04.12.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,04.12.2019,13:00,04.12.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,04.12.2019,14:50,04.12.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,05.12.2019,08:10,05.12.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,05.12.2019,09:05,05.12.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,05.12.2019,10:15,05.12.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,05.12.2019,11:10,05.12.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,05.12.2019,12:05,05.12.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,05.12.2019,13:55,05.12.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,05.12.2019,14:50,05.12.2019,15:40,J. Di Donna BBA 6 - N4,[208]
[BBA 6 - N4] Modellng for Management,06.12.2019,11:10,06.12.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,06.12.2019,12:05,06.12.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,06.12.2019,13:00,06.12.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,06.12.2019,13:55,06.12.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW2.1]
[BBA 6 - N4] Revenue and Pricing Management,06.12.2019,16:00,06.12.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Revenue and Pricing Management,09.12.2019,13:55,09.12.2019,15:40,R. Campione BBA 6 - N4,[208]
[BBA 6 - N4] Hospitality Financial Management,09.12.2019,16:00,09.12.2019,17:45,S. McMath BBA 6 - N4,[NW1.1]
[BBA 6 - N4] General Education,10.12.2019,08:10,10.12.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,10.12.2019,09:05,10.12.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,10.12.2019,10:15,10.12.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,10.12.2019,11:10,10.12.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,10.12.2019,13:55,10.12.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] General Education,11.12.2019,08:10,11.12.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,11.12.2019,09:05,11.12.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,11.12.2019,11:10,11.12.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,11.12.2019,12:05,11.12.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,11.12.2019,13:00,11.12.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,11.12.2019,14:50,11.12.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,12.12.2019,08:10,12.12.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,12.12.2019,09:05,12.12.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,12.12.2019,10:15,12.12.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,12.12.2019,11:10,12.12.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
