Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[B. Hassan] Consultancy Project,12.03.2020,09:05,12.03.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,12.03.2020,11:10,12.03.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,12.03.2020,14:50,12.03.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),16.03.2020,09:05,16.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),16.03.2020,14:50,16.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),17.03.2020,09:05,17.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,17.03.2020,13:55,17.03.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,17.03.2020,16:00,17.03.2020,17:45
[B. Hassan] Consultancy Project,19.03.2020,09:05,19.03.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,19.03.2020,11:10,19.03.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,19.03.2020,14:50,19.03.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),23.03.2020,09:05,23.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),23.03.2020,14:50,23.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),24.03.2020,09:05,24.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,24.03.2020,13:55,24.03.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,24.03.2020,16:00,24.03.2020,17:45
[B. Hassan] Consultancy Project,26.03.2020,09:05,26.03.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,26.03.2020,11:10,26.03.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,26.03.2020,14:50,26.03.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),30.03.2020,09:05,30.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),30.03.2020,14:50,30.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),31.03.2020,09:05,31.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,31.03.2020,13:55,31.03.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,31.03.2020,16:00,31.03.2020,17:45
[B. Hassan] Consultancy Project,02.04.2020,09:05,02.04.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,02.04.2020,11:10,02.04.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,02.04.2020,14:50,02.04.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),06.04.2020,09:05,06.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),06.04.2020,14:50,06.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),07.04.2020,09:05,07.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,07.04.2020,13:55,07.04.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,07.04.2020,16:00,07.04.2020,17:45
[B. Hassan] Consultancy Project,09.04.2020,09:05,09.04.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,09.04.2020,11:10,09.04.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,09.04.2020,14:50,09.04.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Meeting,14.04.2020,16:00,14.04.2020,17:45
[B. Hassan] Hospitality Electives (5208 & 5210),20.04.2020,09:05,20.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),20.04.2020,14:50,20.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),21.04.2020,09:05,21.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,21.04.2020,13:55,21.04.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,21.04.2020,16:00,21.04.2020,17:45
