Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M6] Lunch,17.02.2020,12:05,17.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,17.02.2020,13:00,17.02.2020,14:45,BBA 4 - M6 I. Francis,[EW1]
[BBA 4 - M6] Digital Sales and Marketing,17.02.2020,14:50,17.02.2020,16:50,A. Schirinzi BBA 4 - M3 BBA 4 - M6,[305]
[BBA 4 - M6] Economics,18.02.2020,08:10,18.02.2020,09:55,A. Rosen BBA 4 - M6,[EW8]
[BBA 4 - M6] Foreign Languages - Group 3,18.02.2020,10:15,18.02.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,18.02.2020,11:10,18.02.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,18.02.2020,12:05,18.02.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,18.02.2020,13:55,18.02.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,19.02.2020,08:10,19.02.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,19.02.2020,10:15,19.02.2020,12:00,J. Del Sol J. Van der Blom BBA 4 - M6,[206]
[BBA 4 - M6] Lunch,19.02.2020,12:05,19.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,19.02.2020,13:00,19.02.2020,13:50,F. Avila BBA 4 - M6,[303]
[BBA 4 - M6] Welcome back to LRCM - Mandatory Presence,19.02.2020,13:55,19.02.2020,14:45,BBA 4 - M4 BBA 4 - M5 BBA 4 - M6 Misc. Staff,LT 2
[BBA 4 - M6] Foreign Languages - Group 4,20.02.2020,10:15,20.02.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,20.02.2020,11:10,20.02.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,20.02.2020,13:00,20.02.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,20.02.2020,16:00,20.02.2020,17:45,A. Gamberoni BBA 4 - M6,[303]
[BBA 4 - M6] Hospitality Facilities Management,21.02.2020,08:10,21.02.2020,09:55,M. Aston BBA 4 - M6,[207]
[BBA 4 - M6] Foreign Languages - Group 1,21.02.2020,10:15,21.02.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,21.02.2020,12:05,21.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,21.02.2020,13:00,21.02.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Digital Sales and Marketing,24.02.2020,10:15,24.02.2020,11:05,A. Schirinzi BBA 4 - M6,[NW1.1]
[BBA 4 - M6] Lunch,24.02.2020,11:10,24.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,24.02.2020,13:00,24.02.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Economics,25.02.2020,08:10,25.02.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,25.02.2020,10:15,25.02.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,25.02.2020,11:10,25.02.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,25.02.2020,12:05,25.02.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,25.02.2020,13:55,25.02.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,26.02.2020,08:10,26.02.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,26.02.2020,10:15,26.02.2020,12:00,J. Van der Blom BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Lunch,26.02.2020,12:05,26.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,26.02.2020,13:00,26.02.2020,13:50,F. Avila BBA 4 - M6,[212]
[BBA 4 - M6] Food and Beverage Management and Cost Control,26.02.2020,14:50,26.02.2020,16:50,J. Van der Blom BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Foreign Languages - Group 4,27.02.2020,10:15,27.02.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,27.02.2020,11:10,27.02.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,27.02.2020,13:00,27.02.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,27.02.2020,16:00,27.02.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,28.02.2020,08:10,28.02.2020,09:55,M. Aston BBA 4 - M6,[207]
[BBA 4 - M6] Foreign Languages - Group 1,28.02.2020,10:15,28.02.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,28.02.2020,12:05,28.02.2020,12:55,BBA 4 - M6
