Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - SC - Rooms Division] Foreign Language/English,30.04.2020,08:10,30.04.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Front Office Practical,30.04.2020,10:15,30.04.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Professional Communication Skills,30.04.2020,13:55,30.04.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,01.05.2020,08:10,01.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,01.05.2020,10:15,01.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,01.05.2020,13:00,01.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,04.05.2020,10:15,04.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,04.05.2020,13:00,04.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,04.05.2020,14:50,04.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,05.05.2020,08:10,05.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,05.05.2020,10:15,05.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,05.05.2020,13:00,05.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,05.05.2020,14:50,05.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,06.05.2020,08:10,06.05.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Property Management Systems,06.05.2020,10:15,06.05.2020,12:00,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,06.05.2020,13:00,06.05.2020,14:45,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,06.05.2020,14:50,06.05.2020,16:50,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Foreign Language/English,07.05.2020,08:10,07.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Front Office Practical,07.05.2020,10:15,07.05.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Professional Communication Skills,07.05.2020,13:55,07.05.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Foreign Language/English,08.05.2020,08:10,08.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,08.05.2020,10:15,08.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,08.05.2020,13:00,08.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,11.05.2020,10:15,11.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,11.05.2020,13:00,11.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,11.05.2020,14:50,11.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,12.05.2020,08:10,12.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,12.05.2020,10:15,12.05.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,12.05.2020,13:00,12.05.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,12.05.2020,14:50,12.05.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,13.05.2020,08:10,13.05.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Property Management Systems,13.05.2020,10:15,13.05.2020,12:00,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,13.05.2020,13:00,13.05.2020,14:45,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,13.05.2020,14:50,13.05.2020,16:50,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Foreign Language/English,14.05.2020,08:10,14.05.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Front Office Practical,14.05.2020,10:15,14.05.2020,13:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
