Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G2 Marketing] Hospitality Electives (5209),20.04.2020,14:50,20.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),21.04.2020,09:05,21.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,21.04.2020,12:05,21.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,21.04.2020,13:00,21.04.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,21.04.2020,13:55,21.04.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,22.04.2020,08:10,22.04.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,22.04.2020,11:10,22.04.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,22.04.2020,13:00,22.04.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,22.04.2020,13:55,22.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,23.04.2020,08:10,23.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,23.04.2020,11:10,23.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,23.04.2020,13:00,23.04.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,24.04.2020,08:10,24.04.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,24.04.2020,09:05,24.04.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,24.04.2020,11:10,24.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),27.04.2020,09:05,27.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,27.04.2020,12:05,27.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,27.04.2020,13:00,27.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),27.04.2020,14:50,27.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),28.04.2020,09:05,28.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,28.04.2020,12:05,28.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,28.04.2020,13:00,28.04.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,28.04.2020,13:55,28.04.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,29.04.2020,08:10,29.04.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,29.04.2020,11:10,29.04.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,29.04.2020,13:00,29.04.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,29.04.2020,13:55,29.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,30.04.2020,08:10,30.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,30.04.2020,11:10,30.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,30.04.2020,13:00,30.04.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,01.05.2020,08:10,01.05.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,01.05.2020,09:05,01.05.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,01.05.2020,11:10,01.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),04.05.2020,09:05,04.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,04.05.2020,12:05,04.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,04.05.2020,13:00,04.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),04.05.2020,14:50,04.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),05.05.2020,09:05,05.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,05.05.2020,12:05,05.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,05.05.2020,13:00,05.05.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,05.05.2020,13:55,05.05.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,06.05.2020,08:10,06.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,06.05.2020,11:10,06.05.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,06.05.2020,13:00,06.05.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,06.05.2020,13:55,06.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,07.05.2020,08:10,07.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,07.05.2020,11:10,07.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,07.05.2020,13:00,07.05.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,08.05.2020,08:10,08.05.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,08.05.2020,09:05,08.05.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,08.05.2020,11:10,08.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),11.05.2020,09:05,11.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,11.05.2020,12:05,11.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,11.05.2020,13:00,11.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),11.05.2020,14:50,11.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),12.05.2020,09:05,12.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,12.05.2020,12:05,12.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,12.05.2020,13:00,12.05.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,12.05.2020,13:55,12.05.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,13.05.2020,08:10,13.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,13.05.2020,11:10,13.05.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,13.05.2020,13:00,13.05.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,13.05.2020,13:55,13.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,14.05.2020,08:10,14.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,14.05.2020,11:10,14.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,14.05.2020,13:00,14.05.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,15.05.2020,08:10,15.05.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,15.05.2020,09:05,15.05.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,15.05.2020,11:10,15.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),18.05.2020,09:05,18.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,18.05.2020,12:05,18.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,18.05.2020,13:00,18.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),18.05.2020,14:50,18.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),19.05.2020,09:05,19.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,19.05.2020,12:05,19.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,19.05.2020,13:00,19.05.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,19.05.2020,13:55,19.05.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,20.05.2020,08:10,20.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,20.05.2020,11:10,20.05.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,20.05.2020,13:00,20.05.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,20.05.2020,13:55,20.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,21.05.2020,08:10,21.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,21.05.2020,11:10,21.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,21.05.2020,13:00,21.05.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,22.05.2020,08:10,22.05.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,22.05.2020,09:05,22.05.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,22.05.2020,11:10,22.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),25.05.2020,09:05,25.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,25.05.2020,12:05,25.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,25.05.2020,13:00,25.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),25.05.2020,14:50,25.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),26.05.2020,09:05,26.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,26.05.2020,12:05,26.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,26.05.2020,13:00,26.05.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,26.05.2020,13:55,26.05.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,27.05.2020,08:10,27.05.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,27.05.2020,11:10,27.05.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,27.05.2020,13:00,27.05.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,27.05.2020,13:55,27.05.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,28.05.2020,08:10,28.05.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,28.05.2020,11:10,28.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,28.05.2020,13:00,28.05.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,29.05.2020,08:10,29.05.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,29.05.2020,09:05,29.05.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,29.05.2020,11:10,29.05.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),01.06.2020,09:05,01.06.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,01.06.2020,12:05,01.06.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,01.06.2020,13:00,01.06.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),01.06.2020,14:50,01.06.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),02.06.2020,09:05,02.06.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,02.06.2020,12:05,02.06.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,02.06.2020,13:00,02.06.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,02.06.2020,13:55,02.06.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,03.06.2020,08:10,03.06.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,03.06.2020,11:10,03.06.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,03.06.2020,13:00,03.06.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,03.06.2020,13:55,03.06.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,04.06.2020,08:10,04.06.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,04.06.2020,11:10,04.06.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,04.06.2020,13:00,04.06.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,05.06.2020,08:10,05.06.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,05.06.2020,09:05,05.06.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,05.06.2020,11:10,05.06.2020,12:55,BBA 7 - G2 Marketing
