Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),25.02.2020,09:05,25.02.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,25.02.2020,12:05,25.02.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,25.02.2020,13:00,25.02.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,25.02.2020,13:55,25.02.2020,15:40,BBA 7 - G2 Marketing S. Dahl,[NW3.2]
[BBA 7 - G2 Marketing] General Education,26.02.2020,08:10,26.02.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,26.02.2020,11:10,26.02.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,26.02.2020,13:00,26.02.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,26.02.2020,13:55,26.02.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,27.02.2020,08:10,27.02.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,27.02.2020,11:10,27.02.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,27.02.2020,13:00,27.02.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,28.02.2020,08:10,28.02.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,28.02.2020,09:05,28.02.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,28.02.2020,11:10,28.02.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),02.03.2020,09:05,02.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,02.03.2020,12:05,02.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,02.03.2020,13:00,02.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),02.03.2020,14:50,02.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),03.03.2020,09:05,03.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,03.03.2020,12:05,03.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,03.03.2020,13:00,03.03.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] General Education,04.03.2020,08:10,04.03.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,04.03.2020,11:10,04.03.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,04.03.2020,13:00,04.03.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,04.03.2020,13:55,04.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,04.03.2020,14:50,04.03.2020,16:50,BBA 7 - G2 Marketing S. Dahl
[BBA 7 - G2 Marketing] General Education,05.03.2020,08:10,05.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,05.03.2020,11:10,05.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,05.03.2020,13:00,05.03.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
